Name,Description,Ocupation Wikidata Ids
MARK HADDON,English writer and illustrator,"writer|""poet""|""author""|""novelist""|""screenwriter""|"
CHARLES DICKENS,English writer and social critic,"writer|""novelist""|""journalist""|""social critic""|""author""|"
CHRIS LANGHAM,English writer| actor and comedian,comedian|
THOMAS MALORY,English writer| author of Le Morte d'Arthur,"writer|""author""|"
SARAH DUNANT,English writer| broadcaster and critic,"writer|""author""|""novelist""|"
STEPHEN MERCHANT,English writer| director| radio presenter| comedian and actor,"actor|""comedian""|""screenwriter""|""radio host""|"
GERTRUDE BELL,English writer| traveller| political officer| administrator| archaeologist and spy,"explorer|""anthropologist""|""archaeologist""|""author""|""mountaineer""|"
PETER LAWFORD,English-American actor,"actor|""film producer""|"
LYNN REDGRAVE,English-American actress,"actor|""television actor""|""film actor""|""playwright""|"
RICHARD HOFFMAN,English-American pianist and composer,composer|
CLAUDE RAINS,English-born actor,"film actor|""actor""|"
BOB HOPE,English-born American comedian| actor| singer and dancer,"actor|""singer""|""writer""|""sportsperson""|"
CARY GRANT,English-born American film and stage actor,"actor|""film actor""|""writer""|""autobiographer""|"
CHARLES LAUGHTON,English-born American stage and film actor and director,"theatre director|""film director""|""actor""|""writer""|""film producer""|"
GUY PEARCE,English-born Australian actor,actor|
JERRY MURPHY,English-born Irish footballer,association football player|
SALLY HEMINGS,enslaved woman,
BRUCE BLOCK,entertainer| magician| actor| and ventriloquist,magician|
MIKE DOUGLAS,Entertainer| talk show host,"actor|""television presenter""|""singer""|"
ALLEN GRUBMAN,Entertainment lawyer,lawyer|
STEVE RUBELL,Entrepreneur,entrepreneur|
MARY KAY ASH,Entrepreneur,
EILEEN FISHER,Entrepreneur and fashion designer,
PETER POCKLINGTON,Entrepreneur| libertarian| former political candidate,entrepreneur|
JOHNS HOPKINS,Entrepreneur| philanthropist| and abolitionist,"entrepreneur|""philanthropist""|"
DICK DEVOS,entrepreneur-businessman,"businessperson|""investor""|"
DAVID BROWER,Environmentalist,
NORBY WILLIAMSON,ESPN executive,
JAAN EHLVEST,Estonian chess player,chess player|
TOOMAS HENDRIK ILVES,Estonian president,"politician|""journalist""|""diplomat""|"
KENENISA BEKELE,Ethiopian long-distance runner,long-distance runner|
HAILE GEBRSELASSIE,Ethiopian long-distance runner,"sportsperson|""marathon runner""|""long-distance runner""|"
MELES ZENAWI,Ethiopian politician; Prime Minister of Ethiopia,politician|
THOMAS REITER,European astronaut,"astronaut|""engineer""|""aviator""|""test pilot""|"
JONATHAN FAULL,European Union official,
TIM LAHAYE,evangelical Christian minister and author from the United States,"writer|""author""|"
PAUL EKMAN,Evolutionary and social psychologist,"psychologist|""author""|""anthropologist""|"
JUAN ROMAN RIQUELME,Ex Argentine footballer,association football player|
BARRY MUNITZ,executive,
HOWARD DRAFT,Executive chairman of Draftfcb,
CHRISTOPHER O. WARD,Executive director of the Port Authority of New York,
BEN BRADLEE,executive editor of The Washington Post from 1968 to 1991,"Stripper|""journalist""|"
NIGEL LYTHGOE,Executive producer and television director,dancer|
PERRY MOORE,Executive producer of the Narnia films and author of award-winning LGBTQ young adult novel Hero,"film director|""film producer""|"
MALCOLM HOENLEIN,executive vice chairman of the Conference of Presidents of Major American Jewish Organizations,
ALEXANDER LITVINENKO,ex-KGB agent and FSB lieutenant-colonel,"writer|""author""|""journalist""|"
KIM GORDON,Experimental musician,"guitarist|""singer""|""actor""|""musician""|"
THURSTON MOORE,Experimental musician,"guitarist|""singer""|""musician""|""composer""|"
LEE RANALDO,Experimental musician,"guitarist|""poet""|""singer""|""composer""|"
RICHARD A. CLARKE,expert,author|
JOSH BERNSTEIN,Explorer and TV personality,"actor|""explorer""|""anthropologist""|"
CHRISTOPHER COLUMBUS,explorer| navigator| and colonizer,explorer|
MARGARET TRUDEAU,ex-wife of the late Canadian prime minister Pierre Trudeau,autobiographer|
ADOLF HITLER,Führer and Reich Chancellor of Germany| Leader of the Nazi Party,"politician|""soldier""|""painter""|""political writer""|""revolutionary""|"
HARRIET MIERS,failed nominee for the Supreme Court of the United States,"lawyer|""jurist""|"
OZWALD BOATENG,Fashion designer,tailor|
PHOEBE PHILO,fashion designer,fashion designer|
JOSEPH ABBOUD,Fashion designer,fashion designer|
NUDIE COHN,Fashion designer,fashion designer|
JONATHAN SAUNDERS,Fashion designer,fashion designer|
REEM ACRA,Fashion designer,fashion designer|
SABYASACHI MUKHERJEE,Fashion designer,fashion designer|
RICCARDO TISCI,Fashion Designer,fashion designer|
ALEXANDRE PLOKHOV,fashion designer,fashion designer|
BYRON LARS,Fashion designer,fashion designer|
HUSSEIN CHALAYAN,Fashion designer,fashion designer|
CHARLOTTE RONSON,Fashion designer,fashion designer|
JEAN PAUL GAULTIER,Fashion designer,grand couturier|
YVES SAINT LAURENT,fashion designer,"grand couturier|""designer""|"
ISAAC MIZRAHI,Fashion designer| television personality,creative director|
HILARY ALEXANDER,Fashion journalist,journalist|
JANICE DICKINSON,Fashion model| television personality,"actor|""model""|""photographer""|""talent agent""|""writer""|"
MICHAEL LOHAN,Father of Lindsay Lohan,
YURI SHARAPOV,father of Maria Sharapova,
JOSEPH D. PISTONE,FBI agent,police officer|
HARRY SAMIT,FBI agent,
MOHAMED ALANSSI,FBI informant,
JAMES LEE WITT,Federal Emergency Management Agency director,
SESIL KARATANTCHEVA,female Bulgarian tennis player,"sportsperson|""tennis player""|"
CINDY KLASSEN,female Canadian Olympic speed skater,ice hockey player|
CAROLYN BURKE,Feminist historian and author,
LYNN HARRIS,feminist journalist| essayist| and author,journalist|
ANDREA DWORKIN,Feminist writer,"essayist|""novelist""|"
AUSTIN THOMAS,Fencer,fencer|
WILLIAM H. GASS,Fiction writer| critic| philosophy professor,"officer|""author""|""novelist""|""journalist""|""essayist""|""writer""|"
DAVID FOSTER WALLACE,Fiction writer| essayist,"writer|""author""|""novelist""|""essayist""|"
FREDERIC SEAMAN,Field hockey player,field hockey player|
MICHAEL METZ,Field hockey player,field hockey player|
LINDA WATSON,Field hockey player,field hockey player|
MOHAMMAD KHATAMI,fifth President of the Islamic Republic of Iran,"philosopher|""politician""|""librarian""|""writer""|"
BEATRISA LIANG,Figure skater,sportsperson|
SHIZUKA ARAKAWA,Figure skater,sportsperson|
MICHELLE KWAN,Figure skater,sportsperson|
DOROTHY HAMILL,Figure Skater,sportsperson|
PRISCILLA HILL,Figure skater,sportsperson|
EMILY HUGHES,Figure skater,sportsperson|
SARAH HUGHES,Figure skater,sportsperson|
ALISSA CZISNY,Figure skater,sportsperson|
JOHNNY WEIR,Figure skater,sportsperson|
TATIANA TARASOVA,Figure skater,coach|
IRINA SLUTSKAYA,Figure skater,
EKATERINA GORDEEVA,Figure skater,
JOHN NICKS,Figure skater,
JUDY BLUMBERG,Figure skater,
BENJAMIN MILLER,Figure skater,
GARRETT LUCASH,Figure skater,
JAMIE SILVERSTEIN,Figure skater,
RYAN ARNOLD,Figure skater,
RENA INOUE,Figure skater,
STEVEN COUSINS,Figure skater,
ALEXEI MISHIN,Figure skater,
DENIS PETUKHOV,Figure skater,
OKSANA BAIUL,Figure skater,
TAI BABILONIA,figure skater,
BENJAMIN AGOSTO,Figure skater,
IGOR SHPILBAND,Figure skater,
MARCY HINZMANN,Figure skater,
MELISSA GREGORY,Figure skater,
SUSAN JACKSON,figure skater,
JEFFREY BUTTLE,Figure skater,
SANDRA BEZIC,Figure skater,
MARIA ALTMANN,Filed successful lawsuit against government of Austria for return of family artwork plundered by the Nazis,art collector|
NATHAN LOPEZ,Filipino actor,actor|
MONIQUE LHUILLIER,Filipino fashion designer,fashion designer|
AURAEUS SOLITO,Filipino film director,"film director|""film producer""|"
PARUL SHAH,Filipino model,
ANTONIO SANCHEZ,Filipino murderer,
CARDINAL ZEN,Filipino musician,
MICHAEL RAY AQUINO,Filipino police officer,intelligence officer|
ROBERT HOUSTON,Film actor| director,"film director|""actor""|"
WESLEY SNIPES,film actor| Martial artist| film producer,"television actor|""film actor""|""actor""|"
DIANE LANE,film actress,"actor|""model""|"
CHARLIZE THERON,film actress and producer| former fashion model,"actor|""model""|""film producer""|""television actor""|""film actor""|"
FRED ASTAIRE,film and Broadway dancer from the United States,"actor|""film actor""|""choreographer""|""singer""|""dancer""|"
ALEC BALDWIN,film and television actor from the United States,"actor|""television actor""|""film actor""|"
CHARLIE SHEEN,film and television actor from the United States,"actor|""television actor""|""film actor""|""voice actor""|"
MIMI ROGERS,film and television actress from the United States,"actor|""poker player""|""film producer""|"
BETTE DAVIS,film and television actress from the United States,"actor|""autobiographer""|"
NEIL MERON,film and television producer,film producer|
JERRY BRUCKHEIMER,Film and television producer,"film producer|""film director""|""television producer""|"
GAVIN POLONE,Film and television producer,
JEFF DANNA,film composer,composer|
JAMES HORNER,film composer and conductor,"composer|""conductor""|""musician""|"
ANTHONY LANE,Film critic,journalist|
ROY DEL RUTH,Film director,film director|
LINO BROCKA,Film director,film director|
RICHARD FLEISCHER,Film director,film director|
GREGG ARAKI,film director,film director|
JENNIE LIVINGSTON,Film director,film director|
ERIC KHOO,Film director,film director|
DOUGLAS SIRK,Film director,film director|
ROGER MICHELL,Film director,film director|
HIROSHI TESHIGAHARA,Film director,"film director|""sculptor""|"
MICHAEL APTED,Film director,"film director|""television director""|"
BUDD BOETTICHER,Film director,"film director|""screenwriter""|"
BRUNO DUMONT,Film director,"film director|""screenwriter""|"
JACQUES DEMY,Film director,"film director|""screenwriter""|""dialogue writer""|""lyricist""|""film producer""|""actor""|"
LAURIE COLLYER,Film director,"film director|""screenwriter""|""film producer""|"
BERTRAND TAVERNIER,Film director,"film director|""screenwriter""|""film producer""|""writer""|""actor""|"
CLARENCE BROWN,Film director,"film director|""screenwriter""|""film producer""|""film editor""|"
SHANE MEADOWS,film director,"film director|""screenwriter""|""actor""|"
JOHN FRANKENHEIMER,film director,"film director|""film producer""|"
STURLA GUNNARSSON,film director,"film director|""film producer""|"
MASAKI KOBAYASHI,Film director,"film director|""film producer""|""writer""|""screenwriter""|"
GARY WINICK,film director,"film director|""film producer""|""film editor""|"
VINCENT SHERMAN,Film director,"film director|""actor""|"
ROWLAND V. LEE,Film director,"film director|""actor""|"
RAOUL WALSH,film director,"film director|""actor""|"
LAWSON HARRIS,Film director,"film director|""actor""|"
ARNAUD DESPLECHIN,Film director,"film director|""actor""|""screenwriter""|"
RICHARD DONNER,Film director,"film director|""actor""|""film producer""|"
MIKIO NARUSE,Film director,"film director|""writer""|""film producer""|"
JOHN HYAMS,Film director,"film director|""film editor""|""screenwriter""|""camera operator""|"
WAYNE WANG,film director,"film director|""film editor""|""film producer""|""screenwriter""|""writer""|"
RAMIN BAHRANI,Film director,"screenwriter|""film director""|"
CORNELIU PORUMBOIU,Film director,"screenwriter|""film director""|"
NOAH BAUMBACH,film director,"screenwriter|""film director""|"
ALEXANDRE AJA,film director,"screenwriter|""film producer""|""film director""|"
STEVEN ZAILLIAN,film director,"screenwriter|""film producer""|""film director""|""film editor""|"
NICHOLAS HYTNER,Film director,"theatre director|""film director""|"
REGINALD DENHAM,Film director,actor|
CLAIRE DENIS,Film director,"actor|""film director""|""screenwriter""|"
KAREN MONCRIEFF,Film director,"actor|""film director""|""screenwriter""|"
TOD BROWNING,film director,"actor|""film director""|""screenwriter""|"
SUSAN SEIDELMAN,film director,"actor|""film director""|""screenwriter""|""television director""|""film producer""|"
PETER BOGDANOVICH,Film director,"actor|""film director""|""screenwriter""|""film producer""|""author""|""camera operator""|"
GARTH JENNINGS,film director,"actor|""film director""|""film producer""|"
DARYL DUKE,Film director,"film editor|""film director""|"
GEORGE SIDNEY,film director and producer,film director|
ALEJANDRO AGRESTI,film director and producer,"film producer|""film director""|"
DON SIEGEL,Film director and producer,"film producer|""film director""|"
FRANCIS FORD COPPOLA,film director and producer from the United States,"screenwriter|""film producer""|""film director""|""writer""|"
TERRENCE MALICK,Film director and screenwriter,"screenwriter|""film director""|""film producer""|""writer""|"
ROBERTO ROSSELLINI,film director and screenwriter from Italy,"film director|""actor""|""film producer""|""playwright""|"
RON NYSWANER,Film director and writer,"film director|""writer""|""screenwriter""|"
CECIL B. DEMILLE,film director from the United States,"film producer|""film director""|""film editor""|""screenwriter""|""playwright""|""actor""|"
NORA EPHRON,Film director| author screenwriter,"screenwriter|""film producer""|""film director""|""journalist""|""author""|""novelist""|""reporter""|""essayist""|""playwright""|""writer""|""blogger""|"
BENNETT MILLER,film director| film producer,"film director|""cinematographer""|""film producer""|"
ANDRUCHA WADDINGTON,film director| film producer| Screenwriter,film director|
JAMES GLICKENHAUS,film director| film producer| Screenwriter,"film director|""film producer""|""screenwriter""|"
NEIL LABUTE,Film director| playwright| screenwriter,"film director|""author""|"
JAMES WAN,film director| producer| screenwriter,"film director|""screenwriter""|""writer""|"
ANDREW ADAMSON,film director| producer| screenwriter,"film director|""film producer""|""screenwriter""|"
FABRICE DU WELZ,film director| Screenwriter,film director|
ALAN RUDOLPH,Film director| Screenwriter,"film director|""screenwriter""|"
JAMES MANGOLD,Film director| screenwriter,"film director|""screenwriter""|"
JOAN MICKLIN SILVER,Film director| Screenwriter,"film director|""screenwriter""|"
ANTONI RIBAS,Film director| Screenwriter,"film director|""screenwriter""|"
JEFF FEUERZEIG,Film director| screenwriter,"film director|""screenwriter""|"
NICK GRINDE,Film director| Screenwriter,"film director|""screenwriter""|""film producer""|"
RUTH MADER,film director| Screenwriter,"film director|""screenwriter""|""film producer""|"
PRESTON STURGES,film director| screenwriter,"film director|""screenwriter""|""writer""|"
CRAIG BREWER,Film director| screenwriter,"screenwriter|""film director""|""film producer""|"
ROGER ALLERS,film director| screenwriter| storyboard artist| animator and playwright,"screenwriter|""film director""|"
PEYTON REED,Film director| screenwriter| television director,"film director|""screenwriter""|"
EDGAR G. ULMER,Film director| set designer,"film director|""writer""|"
MATTHEW DIAMOND,Film director| television director| television producer and choreographer,"film director|""choreographer""|""television director""|"
JOEL ZWICK,Film director| television director| theatre director,"film director|""film producer""|""television director""|"
PHYLLIDA LLOYD,Film director| theatre director,film director|
BRIAN JUN,film director| writer| Editor,film director|
JOEL COX,Film Editor,film editor|
IRWIN ALLEN,Film producer,"film director|""television director""|""film producer""|""screenwriter""|"
AARON RUSSO,film producer,"film director|""film producer""|""entrepreneur""|""conspiracy theorist""|"
LAWRENCE KASDAN,film producer,"screenwriter|""film director""|""actor""|""film producer""|"
DARLA K. ANDERSON,film producer,film producer|
JASON KLIOT,Film producer,film producer|
ALBERT BERGER,Film producer,film producer|
DEDE GARDNER,Film producer,film producer|
GRAHAM KING,Film producer,film producer|
MARC ABRAHAM,Film producer,"film producer|""film director""|"
LOUIS B. MAYER,film producer,"film producer|""animator""|""writer""|""director""|"
IRVING THALBERG,film producer,"film producer|""screenwriter""|"
DAVID O. SELZNICK,film producer,"film producer|""screenwriter""|""entrepreneur""|"
GARY GOETZMAN,Film producer,"film producer|""actor""|"
SCOTT MOSIER,Film producer,"film producer|""film editor""|"
JORDAN KERNER,Film producer,actor|
DONALD ROSENFELD,Film producer,
COURTNEY SOLOMON,Film producer| director,"film producer|""film director""|""writer""|""screenwriter""|"
PETER GUBER,Film producer| executive,film producer|
BARBARA GLADSTONE,Film producer| gallery owner| art dealer,film producer|
LUIZ CARLOS BARRETO,Film producer| Screenwriter,screenwriter|
DECLAN DONNELLAN,Film/stage director; writer,film director|
KATHARINE HEPBURN,film| stage| and television actress,"actor|""film actor""|""autobiographer""|"
WENDIE MALICK,film| television and voice actress,"actor|""model""|"
NIKOLAUS GEYRHALTER,Filmmaker,"cinematographer|""film producer""|""film director""|"
STEVEN ASCHER,Filmmaker,film director|
DAVIS GUGGENHEIM,Filmmaker,"film director|""television director""|""film producer""|"
ANNA BODEN,Filmmaker,"screenwriter|""film director""|""film producer""|"
AMY GOLDSTEIN,Filmmaker,"film producer|""screenwriter""|""film director""|"
NATALIA ALMADA,Filmmaker,photographer|
PETER JOSEPH,filmmaker and social activist,film director|
ERROL MORRIS,filmmaker| primarily documentaries,film director|
MARTHA COOLIDGE,Filmmaker| television director,"film producer|""film director""|""film editor""|""screenwriter""|"
JOE BREWSTER,Filmmker,psychiatrist|
LUCIAN BEBCHUK,Finance law scholar,economist|
TEUVO TULIO,Finnish actor,"film director|""actor""|"
TANJA POUTIAINEN,Finnish alpine skier,alpine skier|
KALLE PALANDER,Finnish alpine skier,alpine skier|
TAPIO WIRKKALA,Finnish artist,"designer|""sculptor""|""architect""|"
MARITA LIULIA,Finnish artist,
JORMA ELO,Finnish ballet dancer,choreographer|
MIKKO NISSINEN,Finnish ballet dancer,
KAIJA SAARIAHO,Finnish composer,composer|
JEAN SIBELIUS,Finnish composer of the late Romantic period,"composer|""conductor""|""musicologist""|"
JUKKA TIENSUU,Finnish composer| harpsichordist| pianist and conductor.,"composer|""conductor""|""pianist""|"
TERO SAARINEN,Finnish dancer,choreographer|
PIRJO HONKASALO,Finnish director,film director|
RENNY HARLIN,Finnish film director and film producer,"film director|""film producer""|""camera operator""|"
VESA TOSKALA,Finnish ice hockey goalie,ice hockey player|
NIKO KAPANEN,Finnish ice hockey player,ice hockey player|
JUSSI MARKKANEN,Finnish ice hockey player,ice hockey player|
MIKA NORONEN,Finnish ice hockey player,ice hockey player|
SAKU KOIVU,Finnish ice hockey player,ice hockey player|
SEAN BERGENHEIM,Finnish ice hockey player,ice hockey player|
NIKLAS HAGMAN,Finnish ice hockey player,ice hockey player|
JERE LEHTINEN,Finnish ice hockey player,ice hockey player|
KIMMO TIMONEN,Finnish ice hockey player,ice hockey player|
TIMO SARPANEVA,Finnish industrial  designer,"designer|""sculptor""|"
MARTTI AHTISAARI,Finnish politician and former President of Finland,"politician|""diplomat""|"
OLLI REHN,Finnish politician| currently serving as European Commissioner for Economic and Monetary Affairs and the Euro and vice president of the European Commission,"politician|""association football player""|"
SOILE ISOKOSKI,Finnish soprano,"singer|""opera singer""|"
JARKKO NIEMINEN,Finnish tennis player,tennis player|
EMMA LAINE,Finnish tennis player,tennis player|
LINUS TORVALDS,Finnish-American software engineer and hacker,"programmer|""software developer""|""author""|""writer""|""engineer""|""blogger""|"
CHRISTINE JORGENSEN,First American to become widely known for having sex reassignment surgery,
LOUISE BROWN,First in-vitro baby,
SILDA WALL SPITZER,First Lady of New York,lawyer|
LIBBY PATAKI,First LAdy of New York,
MARTHA WASHINGTON,First Lady of the United States,politician|
BESS TRUMAN,First Lady of the United States,
LAURA BUSH,First Lady of the United States from 2001 to 2009,"librarian|""teacher""|""autobiographer""|"
ANN RUTLEDGE,First love of Abraham Lincoln,
KWAME NKRUMAH,first President and Prime Minister of Ghana,"politician|""author""|""writer""|""diplomat""|"
NURSULTAN NAZARBAYEV,first president of Kazakhstan,politician|
SAPARMURAT NIYAZOV,first President of Turkmenistan,"politician|""autobiographer""|"
LEE KUAN YEW,First Prime Minister of Singapore,"politician|""philosopher""|""autobiographer""|"
KATHERINE HOOVER,Flautist and composer,"composer|""conductor""|""music educator""|"
JAMES GALWAY,flautist from Northern Ireland,musician|
ANNE PROVOOST,Flemish author,"writer|""author""|"
PETER PAUL RUBENS,Flemish Baroque painter,"diplomat|""painter""|""portrait painter""|""court painter""|"
HANS MEMLING,Flemish painter,painter|
JAN VAN EYCK,Flemish painter,"painter|""illuminator""|"
BENVENUTO CELLINI,Florentine sculptor and goldsmith,"sculptor|""writer""|""medallist""|""painter""|""autobiographer""|"
CARLOS TRUJILLO,Florida State Representative,politician|
RICHARD STARK,Florida State Representative,politician|
JULIO GONZALEZ,Florida State Representative,
JOE NEGRON,Florida State Senator,politician|
JOAN OF ARC,folk heroine and Roman Catholic saint,military personnel|
ANDY CABIC,Folk rock singer-songwriter,singer-songwriter|
MARC COHN,folk rock singer-songwriter from the United States,"singer-songwriter|""singer""|"
NICK SABAN,football coach from the United States,gridiron football player|
CARLOS ALBERTO PARREIRA,Football manager,association football player|
RUFUS ALEXANDER,football player,"sportsperson|""gridiron football player""|"
ROBERTO ABBONDANZIERI,football player,"association football player|""goalkeeper""|"
NICK HOLT,football player and coach,
STEVE MCCLAREN,football player and manager,association football player|
MATTIAS JONSON,football player from Sweden,association football player|
STEPHEN MCGEE,football player; Quarterback,gridiron football player|
ANDREA PIRLO,Footballer,association football player|
ASAMOAH GYAN,footballer,association football player|
BOBBY CONVEY,Footballer,association football player|
JOSH WRIGHT,footballer,association football player|
DAVID ARVIZU,footballer,association football player|
WILLIE COOPER,Footballer,association football player|
MARCOS SENNA,footballer,association football player|
YOURI DJORKAEFF,Footballer,association football player|
FABIO GROSSO,footballer,association football player|
ANTHONY GARDNER,footballer,association football player|
MATTHEW AMOAH,footballer,association football player|
JASON PRIOR,footballer,association football player|
PATRICIO MALDONADO,Footballer,association football player|
JAVIER MASCHERANO,footballer,association football player|
LILIAN THURAM,footballer,association football player|
PETER CROUCH,footballer,association football player|
CRAIG KING,footballer,association football player|
JORGE ALVARADO,footballer,association football player|
OWEN HARGREAVES,footballer,association football player|
SIMO VALAKARI,footballer,association football player|
FRANKIE HEJDUK,Footballer,association football player|
BENNY FEILHABER,footballer,association football player|
CRISTIAN ZACCARDO,footballer,association football player|
DAVID TREZEGUET,footballer,association football player|
MICHAEL ESSIEN,footballer,association football player|
ANDREW MCGREGOR,Footballer,association football player|
BILLY EASTON,Footballer,association football player|
MIGUEL CRUZ,Footballer,association football player|
PETER FOLEY,Footballer,association football player|
ROLAND LEWIS,Footballer,association football player|
MARTIN ANDRESEN,footballer,"association football player|""bridge player""|"
MARCUS HAHNEMANN,footballer,"association football player|""goalkeeper""|"
MANUEL CAMACHO,Footballer,"association football player|""goalkeeper""|"
JAMIE CARRAGHER,footballer,"association football player|""sportsperson""|"
SHAKA HISLOP,footballer,"association football player|""sportsperson""|""goalkeeper""|"
RICHARD KINGSON,footballer,"association football player|""sportsperson""|""goalkeeper""|"
THEO WALCOTT,footballer,"association football player|""writer""|"
LESTER MARSHALL,Footballer,
JASON WATSON,Footballer,
MARK FLEMING,Footballer,
MARTIN PETERS,Footballer and manager,association football player|
QUINTIN MIKELL,footballer from the United States,"association football player|""gridiron football player""|"
GENNARO GATTUSO,footballer/Manager,association football player|
DAVID CHOQUEHUANCA,Foreign Minister of Bolivia,diplomat|
KEVIN MAWAE,former American football center,"sportsperson|""gridiron football player""|"
BILL COWHER,Former American football coach and player,"sportsperson|""television presenter""|""gridiron football player""|"
MICHAEL STRAHAN,Former American football player| current NFL analyst and TV-host,"sportsperson|""television presenter""|""gridiron football player""|"
AHMAD RASHAD,Former American football player| sportcaster,"sportsperson|""gridiron football player""|"
COREY DILLON,former American football running back,gridiron football player|
TERRELL DAVIS,former American football running back,"sportsperson|""gridiron football player""|"
JEROME BETTIS,Former American football running back for the Pittsburgh Steelers,"sportsperson|""gridiron football player""|"
COREY CHAVOUS,former American football safety,"sportsperson|""gridiron football player""|"
JOHN PAUL STEVENS,Former Associate Justice of the Supreme Court of the United States,"officer|""judge""|"
JANET RENO,Former Attorney General of the United States,"politician|""prosecutor""|"
KIM BEAZLEY,Former Australian politician and academic and a current diplomat| born 1948.,"politician|""diplomat""|"
MIKE MAROTH,former baseball pitcher from the United States,baseball player|
JIM LEYLAND,former baseball player and manager from the United States,"baseball player|""baseball manager""|"
RICHIE HEBNER,former baseball player from the United States,baseball player|
CRAIG BIGGIO,former baseball player from the United States,"sportsperson|""baseball player""|"
AARON ROWAND,former baseball player from the United States,"sportsperson|""baseball player""|"
BRUCE FROEMMING,former baseball umpire from the United States,baseball umpire|
TIM TSCHIDA,former baseball umpire from the United States,baseball umpire|
CHARLIE RELIFORD,former baseball umpire from the United States,baseball umpire|
PAMELA ARMSTRONG,Former British television personality,journalist|
JEFFREY SKILLING,former CEO of Enron Corporation,
JEROEN VAN DER VEER,former CEO of Royal Dutch Shell,"chief executive officer|""entrepreneur""|"
KENNETH LAY,former chairman and CEO of Enron Corporation,businessperson|
GARRY KASPAROV,former chess world champion,"chess player|""author""|""politician""|"
DAN HALUTZ,Former Chief of the General Staff of the Israel Defense Forces,military personnel|
MENGISTU HAILE MARIAM,Former dictator of Ethiopia,politician|
PHILIPPE DE MONTEBELLO,former director of the Metropolitan Museum of Art,art historian|
PAUL BURRELL,former domestic servant of the British Royal Household,author|
SOL CAMPBELL,former England international footballer,"association football player|""sportsperson""|"
J. CLIFFORD BAXTER,former Enron Corporation executive,officer|
RICHARD CAUSEY,Former Enron official,
JIM ALLCHIN,Former executive at Microsoft,"musician|""singer-songwriter""|"
JILL ABRAMSON,former executive editor of The New York Times,journalist|
IMELDA MARCOS,Former First Lady of the Philippines,"model|""singer""|""diplomat""|""politician""|""entrepreneur""|"
NANCY REAGAN,Former first lady of the United States,"television actor|""film actor""|""actor""|""autobiographer""|"
BARBARA BUSH,former First Lady of the United States,politician|
FIDEL CASTRO,former First Secretary of the Communist Party of Cuba,"politician|""lawyer""|""soldier""|"
MICHEL PLATINI,former French football player and manager,association football player|
ZHAO ZIYANG,former General Secretary of the Communist Party of China,politician|
FRANZ BECKENBAUER,former German football player and global football legend,"association football player|""association football manager""|"
HARALD SCHUMACHER,former German footballer,"association football player|""goalkeeper coach""|""goalkeeper""|"
OLIVER BIERHOFF,former German footballer,"association football player|""sport management""|"
ULI HOENESS,former German footballer and manager,association football player|
HEATHER MILLS,former glamour model| activist,"model|""businessperson""|"
GRAY DAVIS,former governor of California,"lawyer|""politician""|"
ROD BLAGOJEVICH,Former Governor of Illinois,politician|
THOMAS KEAN,Former Governor of New Jersey and Chairman of the 9/11 Commission,politician|
LENNOX LEWIS,former heavyweight champion and professional boxer,boxer|
FILIPPO INZAGHI,former Italian footballer,"association football player|""association football manager""|"
JAKE LAMOTTA,former italo-armerican boxer and middle weight world champion,boxer|
SCOOTER LIBBY,former lawyer and White House official,politician|
JIMMIE LEE SOLOMON,former Major League Baseball executive,
GRADY LITTLE,Former Major League Baseball manager,baseball player|
PEDRO MARTINEZ,former Major League Baseball pitcher,baseball player|
ANDY VAN SLYKE,former Major League Baseball player,baseball player|
RAFAEL PALMEIRO,Former Major League Baseball player,"sportsperson|""baseball player""|"
GENE MICHAEL,Former Major League Baseball player| manager| executive,baseball player|
DAN KOLB,Former Major League Baseball relief pitcher,baseball player|
JESSE BARFIELD,Former Major League Baseball right fielder,baseball player|
COREY KOSKIE,Former Major League Baseball third baseman,baseball player|
DAVID DINKINS,former mayor of New York City,politician|
ANTHONY A. WILLIAMS,former mayor of the District Columbia,politician|
GUILLERMO LINARES,Former Member of the New York State Assembly and New York City Council,politician|
CHARLIE BATCH,former NFL quarterback,"sportsperson|""gridiron football player""|"
DARRYN LYONS,former paparazzo| Australian politician| media personality and entrepreneur,photographer|
ZENG QINGHONG,former Politburo Standing Committee member of the Communist Party of China,politician|
PAUL OTELLINI,former president & CEO of Intel,
JANET L. ROBINSON,Former President and Chief Executive Officer| The New York Times Company,journalist|
MWAI KIBAKI,Former president of Kenya,economist|
NELSON MANDELA,former President of South Africa| anti-apartheid activist,"politician|""autobiographer""|"
CHARLOTTE KNOBLOCH,former president of the Central Council of Jews in Germany,
PAUL WOLFOWITZ,former President of the World Bank,"banker|""political scientist""|""diplomat""|""politician""|""ambassador""|""educationist""|""economist""|"
RON GETTELFINGER,Former President| United Auto Workers,
GUY VERHOFSTADT,Former prime minister of Belgium,politician|
ANDERS FOGH RASMUSSEN,former Prime Minister of Denmark and NATO secretary general,"economist|""politician""|"
MARI ALKATIRI,Former Prime Minister of East Timor,
JUNICHIRO KOIZUMI,former Prime Minister of Japan,"politician|""diplomat""|"
RONALD BELLAMY,former professional American football player,"sportsperson|""gridiron football player""|"
JUNIOR SPIVEY,Former professional baseball player,baseball player|
JOHN F. TIERNEY,former representative for Massachusetts's 6th congressional district,politician|
FRANCIS J. HARVEY,Former secretary of the United States Army,
